country,covid19,cardiobascular_diseases,respiratory_diseases,kidney_diseases,neonatal_disorders,meningitis,malaria,interpersonal_violence,hiv_aids,tuberculosis,maternal_disorders,respiratori_infections-lower,diarrheal_diseases,poisoning,nutricional_deficiences,alzheimer,parkinson,hepatitis,digestive_disease,cirrhosis,protein_energy_malnutrition,neoplasm,fire_heat,drowing,drug_use,road_injuries,enviromental_extreme_cond,self_harm,conflict_and_terrorism,diabetes
Afghanistan,2201.0,61995,7082,5637,23701,1563,530,5015,318,3627,4038,18697,4320,525,1244,1775,560,1940,6929,3797,1210,21247,485,1687,406,8254,59,1613,24295,4817
Albania,1181.0,12904,815,329,161,13,0,57,2,11,3,457,7,11,5,917,248,1,527,333,3,4705,18,36,29,243,4,152,0,175
Algeria,2762.0,97931,7528,8201,8756,292,0,459,264,445,638,5786,527,351,114,5209,1283,259,6398,4045,92,23816,782,526,526,11051,40,1515,13,5328
Andorra,84.0,169,39,16,0,0,0,0,3,0,0,20,1,0,0,36,7,1,27,12,0,230,0,0,0,8,0,8,0,9
Angola,33.0,25724,3934,2464,18189,2520,10784,974,16802,11752,2069,12783,12936,433,3015,1143,267,246,8971,5666,2906,12791,513,793,80,9253,114,1928,16,4033
Antigua and Barbuda,5.0,200,11,36,4,1,0,5,7,0,0,30,2,0,3,16,5,0,24,13,3,138,2,4,0,7,0,3,0,57
Argentina,43319.0,101725,19348,15665,3272,453,0,2881,1777,727,377,36264,757,272,1330,12045,3043,36,17792,8525,1255,85209,672,566,86,6318,45,5029,0,10762
Armenia,2828.0,13507,1323,449,156,5,0,153,19,73,8,546,13,18,4,873,169,2,1720,1114,1,5834,45,44,10,240,47,287,0,1235
Australia,909.0,51615,11203,5207,487,46,0,322,71,95,13,4269,228,43,164,11240,2403,10,6632,2215,136,53700,109,196,1128,1595,37,2898,0,4239
Austria,6261.0,32998,3406,3367,115,31,0,70,35,50,3,1205,125,31,12,4802,1040,3,3237,1809,2,22258,42,56,140,491,35,1418,0,2340
Azerbaijan,2670.0,42138,2006,1386,1825,62,0,372,37,636,32,2454,114,85,29,941,338,24,3945,3118,18,11913,413,312,39,803,129,379,0,2150
Bahamas,171.0,869,51,112,21,3,0,111,116,7,4,94,4,1,6,61,17,0,119,62,5,580,10,24,2,55,1,12,0,146
Bahrain,352.0,1271,161,176,33,3,0,27,7,11,5,83,11,2,4,74,21,4,212,138,3,817,15,12,3,177,1,77,0,708
Bangladesh,7576.0,324764,70893,12775,40175,2323,110,3954,359,29086,6598,37302,32927,561,4402,15614,4489,4437,41679,26165,2282,106147,1407,7581,299,8612,113,7365,155,33095
Barbados,7.0,905,63,123,20,3,0,33,25,2,2,164,5,0,8,100,28,0,113,47,5,825,5,10,1,31,0,15,0,312
Belarus,1433.0,75339,2438,500,160,49,0,776,294,298,13,1155,13,349,45,3685,632,19,4188,2235,24,19668,681,645,235,1049,619,2272,0,393
Belgium,19581.0,33627,7400,2965,171,45,0,163,56,82,5,6340,898,37,371,6615,1331,5,5662,2105,338,33892,129,77,224,888,48,2212,0,1731
Belize,248.0,464,74,112,57,2,0,114,80,15,5,112,11,1,13,48,12,0,103,65,12,299,4,25,1,80,0,28,0,154
Benin,44.0,11418,1888,1581,12609,1975,13264,898,2033,2624,1320,9053,5268,221,820,695,190,165,3465,1943,783,5247,312,384,15,1937,74,742,1,1537
Bermuda,10.0,209,18,19,1,0,0,2,6,0,0,18,0,0,0,32,8,0,19,8,0,179,0,2,1,7,0,3,0,24
Bhutan,3.0,1208,571,147,235,22,0,7,31,107,26,161,119,2,7,81,27,10,285,176,3,474,8,21,2,64,2,41,0,155
Bolivia,9175.0,15905,3578,4425,3809,134,0,615,732,1550,557,6570,688,70,895,1393,569,19,5833,3319,810,14035,174,464,56,2037,21,743,0,3797
Bosnia and Herzegovina,4086.0,18828,1204,658,74,9,0,84,2,120,1,414,8,13,5,1080,328,3,1235,593,2,9482,53,48,11,195,14,366,0,2290
Botswana,42.0,3519,649,444,850,123,14,469,5612,809,51,1528,524,41,185,153,41,8,785,418,181,2076,107,95,7,574,18,403,0,1061
Brazil,195541.0,397993,76551,42336,29661,2008,118,65907,15561,5485,1935,88641,7514,190,8221,54594,9564,237,78484,38029,7648,266014,1661,6110,1127,44529,76,13503,0,65366
Brunei,3.0,508,93,78,23,2,0,6,5,19,3,82,3,1,1,24,13,3,61,31,0,528,5,16,2,61,1,25,0,171
Bulgaria,7604.0,79119,3036,1950,156,39,0,182,46,121,8,1990,25,46,11,3146,1000,9,4507,2707,4,22009,117,160,69,678,115,1087,0,2377
Burkina Faso,85.0,22151,2714,2822,19281,5258,26305,2139,2959,7552,2076,24392,14957,627,4048,1245,344,298,6369,2993,3830,10125,724,899,58,5278,138,1545,707,2975
Burundi,2.0,10804,2399,1040,8794,1239,7280,126,2048,8721,1301,6462,9336,252,2048,479,116,212,3543,1906,1982,5275,272,325,16,1907,89,800,80,1463
Cambodia,2794.0,30313,4959,2193,4440,129,57,495,1416,6046,477,12066,1718,72,532,1794,442,310,12188,8388,457,14553,213,1048,37,2911,5,785,2,3631
Cameroon,448.0,26491,4166,4783,15688,2791,22652,916,23172,6551,2917,17015,17855,406,965,1505,502,378,7137,4131,899,14258,572,609,79,6401,128,2260,626,5187
Canada,15819.0,82644,18385,7501,915,89,0,552,254,149,25,9125,1742,132,354,17052,4123,12,12872,5442,302,93072,303,288,2526,2479,128,4699,1,7420
Cape Verde,113.0,1073,107,105,92,18,9,81,55,60,6,294,47,3,12,99,25,4,175,114,11,717,16,34,1,47,2,82,0,134
Chad,104.0,13837,2761,1817,17347,4623,7194,1234,4695,6990,3239,19447,30372,358,2454,715,209,409,5147,2886,2376,6250,470,619,14,2576,133,996,276,1720
Chile,16660.0,30115,6389,5038,594,113,0,793,492,456,49,4703,449,38,576,4804,1334,5,8426,5157,550,31648,341,356,71,2299,38,2006,0,3822
China,4634.0,4584273,1085273,196726,44950,6465,0,11970,31746,36566,1537,185264,5440,27084,16863,320715,76990,3726,277142,152262,13099,2716551,11096,56524,11445,250025,4966,121217,0,172892
Colombia,43495.0,72629,17772,9496,4255,377,55,17061,2450,908,475,7899,903,63,1332,13672,1959,13,11497,3984,1287,49460,200,947,127,7408,16,2731,0,7048
Comoros,10.0,1143,167,117,380,70,174,67,2,329,26,450,278,12,66,85,18,12,299,161,62,544,16,14,2,151,5,41,0,163
Congo,108.0,7096,997,701,2002,284,2102,245,4275,1961,392,2033,1879,69,275,309,82,32,1722,1071,259,3363,85,89,23,1521,19,423,0,1169
